timestamp,temperature,pressure,wind_speed,wd,rh,solar_irradiance,solar_generation_kw,wind_generation_kw,total_demand_kw,blizzard_warning_12h
2012-01-28 12:00:00,-0.33,982.0,4.51,155.95,34.24,1000.0,120.0,3.1852031597222212,178.95340142319952,0
2012-01-28 13:00:00,-0.44,982.02,4.19,149.7,38.07,965.9258262890684,115.91109915468822,2.554168715277778,190.37667865625352,0
2012-01-28 14:00:00,0.02,981.18,4.06,149.46,40.88,866.0254037844387,103.92304845413264,2.3237297222222217,188.48763779456814,0
2012-01-28 15:00:00,-0.15,980.6,2.95,118.61,43.44,707.1067811865476,84.8528137423857,0.0,178.9736445201228,0
2012-01-28 16:00:00,0.06,979.63,3.14,134.17,44.14,499.99999999999994,59.99999999999999,1.0749702777777776,183.26146220746668,0
2012-01-28 17:00:00,-0.01,978.77,5.26,162.08,44.95,258.81904510252105,31.058285412302528,5.053179722222221,187.83955138578665,0
2012-01-28 18:00:00,-0.45,977.67,5.99,161.67,45.08,1.2246467991473532e-13,1.469576158976824e-14,7.462562465277779,185.50877094335044,0
2012-01-28 19:00:00,-1.47,976.78,6.91,173.04,46.45,0.0,0.0,11.45622815972222,196.72888531014823,0
2012-01-28 20:00:00,-2.64,976.0,7.73,176.25,48.3,0.0,0.0,16.037844340277776,190.10537308753612,0
2012-01-28 21:00:00,-3.2,975.4,8.13,177.1,46.03,0.0,0.0,18.658604062500007,193.8125987057028,0
2012-01-28 22:00:00,-3.51,974.62,8.74,174.12,42.65,0.0,0.0,23.181514722222225,198.9422958690584,0
2012-01-28 23:00:00,-3.61,974.0,9.09,172.05,40.92,0.0,0.0,26.079494062499993,189.62807853690205,0
2012-01-29 00:00:00,-3.85,973.07,8.58,174.54,42.39,0.0,0.0,21.931552499999995,206.58433782857344,0
2012-01-29 01:00:00,-4.44,972.28,10.07,175.72,44.62,0.0,0.0,35.45650496527779,193.3282385144693,0
2012-01-29 02:00:00,-5.11,971.15,10.5,176.11,46.86,0.0,0.0,40.1953125,213.35256235308773,0
2012-01-29 03:00:00,-5.21,970.12,10.67,176.78,46.36,0.0,0.0,42.179436215277775,199.63318977632252,0
2012-01-29 04:00:00,-5.06,969.47,10.84,175.4,46.38,0.0,0.0,44.22780222222222,195.23698973734105,0
2012-01-29 05:00:00,-4.98,968.53,12.45,174.45,47.41,0.0,0.0,60.0,194.95618473348298,0
2012-01-29 06:00:00,-4.43,967.93,12.73,174.06,50.49,0.0,0.0,60.0,191.47049446659375,0
2012-01-29 07:00:00,-3.88,967.0,12.34,174.15,54.35,258.81904510252076,31.05828541230249,60.0,202.37149582071225,0
2012-01-29 08:00:00,-3.3,966.03,13.3,173.74,59.42,499.99999999999994,59.99999999999999,60.0,198.13308467981352,0
2012-01-29 09:00:00,-2.96,965.0,14.36,173.37,60.29,707.1067811865476,84.8528137423857,60.0,198.61878181708786,0
2012-01-29 10:00:00,-2.3,964.17,14.65,172.17,58.76,866.0254037844386,103.92304845413263,60.0,181.02300099100165,0
2012-01-29 11:00:00,-1.79,964.0,14.04,171.66,62.4,965.9258262890684,115.91109915468822,60.0,186.2060588509139,0
2012-01-29 12:00:00,-1.13,963.8,12.39,173.87,61.14,1000.0,120.0,60.0,188.0068795930961,0
2012-01-29 13:00:00,0.52,963.0,11.53,170.17,47.68,965.9258262890684,115.91109915468822,53.222520034722216,179.45880819854048,0
2012-01-29 14:00:00,1.12,962.47,12.29,168.99,43.8,866.0254037844387,103.92304845413264,60.0,177.48493613626255,0
2012-01-29 15:00:00,1.12,962.23,12.74,169.97,43.46,707.1067811865476,84.8528137423857,60.0,177.08207182395967,0
2012-01-29 16:00:00,0.99,962.52,13.33,166.65,45.29,499.99999999999994,59.99999999999999,60.0,178.0632247082338,0
2012-01-29 17:00:00,0.63,962.87,12.43,168.6,49.65,258.81904510252105,31.058285412302528,60.0,188.9249985048479,0
2012-01-29 18:00:00,0.65,963.0,10.36,164.09,49.3,1.2246467991473532e-13,1.469576158976824e-14,38.608842222222215,183.98620925609097,0
2012-01-29 19:00:00,0.23,963.42,8.41,155.93,50.33,0.0,0.0,20.65358753472222,178.0609610804782,0
2012-01-29 20:00:00,-0.21,964.0,8.78,155.27,54.02,0.0,0.0,23.50125527777777,187.75863045037,0
2012-01-29 21:00:00,-0.58,964.52,8.24,151.6,55.87,0.0,0.0,19.426257777777774,191.82776021474135,0
2012-01-29 22:00:00,-0.68,965.0,7.3,151.84,54.91,0.0,0.0,13.507534722222218,186.6809422617055,0
2012-01-29 23:00:00,-0.82,965.17,7.0,158.68,55.59,0.0,0.0,11.909722222222225,187.2082539591891,0
2012-01-30 00:00:00,-0.94,966.0,7.09,162.16,56.27,0.0,0.0,12.375028784722222,184.6597669855936,0
2012-01-30 01:00:00,-1.11,966.95,6.98,161.47,56.36,0.0,0.0,11.807930277777778,183.94650476467262,0
2012-01-30 02:00:00,-1.26,967.78,7.09,152.99,55.9,0.0,0.0,12.375028784722222,187.69203665330406,0
2012-01-30 03:00:00,-1.24,968.62,7.3,153.65,54.92,0.0,0.0,13.507534722222218,187.09260830929537,0
2012-01-30 04:00:00,-1.44,969.1,9.34,160.11,57.38,0.0,0.0,28.29098972222222,191.2808986618163,0
